date,home_team,score,guest_team
11-08-2017,Arsenal,4 - 3,Leicester
19-08-2017,Stoke,1 - 0,Arsenal
27-08-2017,Liverpool,4 - 0,Arsenal
09-09-2017,Arsenal,3 - 0,Bournemouth
17-09-2017,Chelsea,0 - 0,Arsenal
25-09-2017,Arsenal,2 - 0,West Brom
01-10-2017,Arsenal,2 - 0,Brighton
14-10-2017,Watford,2 - 1,Arsenal
22-10-2017,Everton,2 - 5,Arsenal
28-10-2017,Arsenal,2 - 1,Swansea
05-11-2017,Man City,3 - 1,Arsenal
18-11-2017,Arsenal,2 - 0,Tottenham
26-11-2017,Burnley,0 - 1,Arsenal
29-11-2017,Arsenal,5 - 0,Huddersfield
02-12-2017,Arsenal,1 - 3,Man United
10-12-2017,Southampton,1 - 1,Arsenal
13-12-2017,West Ham,0 - 0,Arsenal
16-12-2017,Arsenal,1 - 0,Newcastle
22-12-2017,Arsenal,3 - 3,Liverpool
28-12-2017,Crystal Palace,2 - 3,Arsenal
31-12-2017,West Brom,1 - 1,Arsenal
03-01-2018,Arsenal,2 - 2,Chelsea
14-01-2018,Bournemouth,2 - 1,Arsenal
20-01-2018,Arsenal,4 - 1,Crystal Palace
30-01-2018,Swansea,3 - 1,Arsenal
03-02-2018,Arsenal,5 - 1,Everton
10-02-2018,Tottenham,1 - 0,Arsenal
01-03-2018,Arsenal,0 - 3,Man City
04-03-2018,Brighton,2 - 1,Arsenal
11-03-2018,Arsenal,3 - 0,Watford
01-04-2018,Arsenal,3 - 0,Stoke
08-04-2018,Arsenal,3 - 2,Southampton
15-04-2018,Newcastle,2 - 1,Arsenal
22-04-2018,Arsenal,4 - 1,West Ham
29-04-2018,Man United,2 - 1,Arsenal
06-05-2018,Arsenal,5 - 0,Burnley
09-05-2018,Leicester,3 - 1,Arsenal
13-05-2018,Huddersfield,0 - 1,Arsenal
12-08-2017,West Brom,1 - 0,Bournemouth
19-08-2017,Bournemouth,0 - 2,Watford
26-08-2017,Bournemouth,1 - 2,Man City
09-09-2017,Arsenal,3 - 0,Bournemouth
15-09-2017,Bournemouth,2 - 1,Brighton
23-09-2017,Everton,2 - 1,Bournemouth
30-09-2017,Bournemouth,0 - 0,Leicester
14-10-2017,Tottenham,1 - 0,Bournemouth
21-10-2017,Stoke,1 - 2,Bournemouth
28-10-2017,Bournemouth,0 - 1,Chelsea
04-11-2017,Newcastle,0 - 1,Bournemouth
18-11-2017,Bournemouth,4 - 0,Huddersfield
25-11-2017,Swansea,0 - 0,Bournemouth
29-11-2017,Bournemouth,1 - 2,Burnley
03-12-2017,Bournemouth,1 - 1,Southampton
09-12-2017,Crystal Palace,2 - 2,Bournemouth
13-12-2017,Man United,1 - 0,Bournemouth
17-12-2017,Bournemouth,0 - 4,Liverpool
23-12-2017,Man City,4 - 0,Bournemouth
26-12-2017,Bournemouth,3 - 3,West Ham
30-12-2017,Bournemouth,2 - 1,Everton
01-01-2018,Brighton,2 - 2,Bournemouth
14-01-2018,Bournemouth,2 - 1,Arsenal
20-01-2018,West Ham,1 - 1,Bournemouth
31-01-2018,Chelsea,0 - 3,Bournemouth
03-02-2018,Bournemouth,2 - 1,Stoke
11-02-2018,Huddersfield,4 - 1,Bournemouth
24-02-2018,Bournemouth,2 - 2,Newcastle
03-03-2018,Leicester,1 - 1,Bournemouth
11-03-2018,Bournemouth,1 - 4,Tottenham
17-03-2018,Bournemouth,2 - 1,West Brom
31-03-2018,Watford,2 - 2,Bournemouth
07-04-2018,Bournemouth,2 - 2,Crystal Palace
14-04-2018,Liverpool,3 - 0,Bournemouth
18-04-2018,Bournemouth,0 - 2,Man United
28-04-2018,Southampton,2 - 1,Bournemouth
05-05-2018,Bournemouth,1 - 0,Swansea
13-05-2018,Burnley,1 - 2,Bournemouth
12-08-2017,Brighton,0 - 2,Man City
19-08-2017,Leicester,2 - 0,Brighton
26-08-2017,Watford,0 - 0,Brighton
09-09-2017,Brighton,3 - 1,West Brom
15-09-2017,Bournemouth,2 - 1,Brighton
24-09-2017,Brighton,1 - 0,Newcastle
01-10-2017,Arsenal,2 - 0,Brighton
15-10-2017,Brighton,1 - 1,Everton
20-10-2017,West Ham,0 - 3,Brighton
29-10-2017,Brighton,1 - 1,Southampton
04-11-2017,Swansea,0 - 1,Brighton
20-11-2017,Brighton,2 - 2,Stoke
25-11-2017,Man United,1 - 0,Brighton
28-11-2017,Brighton,0 - 0,Crystal Palace
02-12-2017,Brighton,1 - 5,Liverpool
09-12-2017,Huddersfield,2 - 0,Brighton
13-12-2017,Tottenham,2 - 0,Brighton
16-12-2017,Brighton,0 - 0,Burnley
23-12-2017,Brighton,1 - 0,Watford
26-12-2017,Chelsea,2 - 0,Brighton
30-12-2017,Newcastle,0 - 0,Brighton
01-01-2018,Brighton,2 - 2,Bournemouth
13-01-2018,West Brom,2 - 0,Brighton
20-01-2018,Brighton,0 - 4,Chelsea
